id,brand,model,release_year,collected_at,source_url,confidence,chip_part_id,length_mm,height_mm,thickness_slots,tbp_watt,recommended_psu_watt,power_connectors,boost_clock_mhz,boost_clock_oc_mhz,fan_count,hdmi_count,displayport_count,usb_c_count
asus-prime-rx-9060-xt-oc,ASUS,Prime Radeon RX 9060 XT OC Edition 16GB GDDR6,,2026-08-20,https://www.asus.com/motherboards-components/graphics-cards/prime/prime-rx9060xt-o16g/techspec/,high,amd-rx-9060-xt,304,,2.5,,550,1 x 8-pin,3310,3330,,1,2,
asus-tuf-gaming-rx-9060-xt-oc,ASUS,TUF Gaming Radeon RX 9060 XT OC Edition,,2026-08-20,https://www.asus.com/motherboards-components/graphics-cards/tuf-gaming/tuf-rx9060xt-o16g-gaming/techspec/,high,amd-rx-9060-xt,304,,2.5,,550,1 x 8-pin,3320,3340,,1,2,
gigabyte-rx-9060-xt-gaming-oc,GIGABYTE,Radeon RX 9060 XT GAMING OC 16G,,2026-08-20,https://www.gigabyte.com/Graphics-Card/GV-R9060XTGAMING-OC-16GD/sp,high,amd-rx-9060-xt,281,,,,450,1 x 8-pin,3320,,,1,2,
sapphire-nitro-rx-9060-xt-oc,SAPPHIRE,NITRO+ AMD Radeon RX 9060 XT OC,,2026-08-20,https://www.sapphiretech.com/en/consumer/nitro-radeon-rx-9060-xt-16g-gddr6,high,amd-rx-9060-xt,300,,2.7,182,450,1 x 8-pin,,,,,,
sapphire-pulse-rx-9060-xt-oc,SAPPHIRE,PULSE AMD Radeon RX 9060 XT OC 16GB,,2026-08-20,https://www.sapphiretech.com/en/consumer/pulse-radeon-rx-9060-xt-16g-gddr6,high,amd-rx-9060-xt,240,,2.3,170,450,1 x 8-pin,,,,,,
asus-prime-rx-9070-oc,ASUS,Prime Radeon RX 9070 OC Edition,,2026-08-20,https://www.asus.com/motherboards-components/graphics-cards/prime/prime-rx9070-o16g/techspec/,high,amd-rx-9070,312,,2.5,,650,2 x 8-pin,2590,2610,,1,3,
asus-tuf-gaming-rx-9070-oc,ASUS,TUF Gaming Radeon RX 9070 OC Edition,,2026-08-20,https://www.asus.com/motherboards-components/graphics-cards/tuf-gaming/tuf-rx9070-o16g-gaming/techspec/,high,amd-rx-9070,330,,3.125,,750,2 x 8-pin,2650,2670,,1,3,
gigabyte-rx-9070-gaming-oc,GIGABYTE,Radeon RX 9070 GAMING OC 16G,,2026-08-20,https://www.gigabyte.com/Graphics-Card/GV-R9070GAMING-OC-16GD/sp,high,amd-rx-9070,288,,,,750,2 x 8-pin,2700,,,2,2,
sapphire-nitro-rx-9070-oc,SAPPHIRE,NITRO+ AMD Radeon RX 9070 OC,,2026-08-20,https://www.sapphiretech.com/en/consumer/nitro-radeon-rx-9070-16g-gddr6,high,amd-rx-9070,331,,3.2,245,650,12V-2x6,,,,,,
sapphire-pulse-rx-9070,SAPPHIRE,PULSE AMD Radeon RX 9070,,2026-08-20,https://www.sapphiretech.com/en/consumer/pulse-radeon-rx-9070-16g-gddr6,high,amd-rx-9070,280,,2.5,220,650,2 x 8-pin,,,,,,
